Team,Stadium,LatD,LatM,LatS,LonD,LonM,LonS
Arsenal,Emirates Stadium,51,33,18,0,6,31
Aston Villa,Villa Park,52,50,91,-1,88,48
Cardiff City,Cardiff City Stadium (Dinas Caerdydd),51,28,22,-3,12,11
Chelsea,Stamford Bridge,51,28,54,0,11,28
Crystal Palace,Selhurst Park,51,23,54,0,5,8
Everton,Goodison Park,53,26,20,-2,57,59
Fulham,Craven Cottage,51,28,30,0,13,18
Hull City,KCOM Stadium,53,74,61,0,36,83
Liverpool,Anfield,53,25,51,-2,57,39
Manchester City,Etihad Stadium,53,28,59,-2,12,1
Manchester United,Old Trafford,53,27,47,-2,17,29
Newcastle United,St. James' Park,54,58,32,-1,37,18
Norwich City,Carrow Road,52,62,21,-1,30,92
Southampton,St Mary's Stadium,50,54,21,-1,23,28
Stoke City,Bet365 Stadum,52,98,84,-2,17,54
Swansea City,Liberty Stadium,51,64,27,-3,93,46
Sunderland,Stadium of Light,54,91,46,-1,38,84
Tottenham Hotspur,White Hart Lane,51,36,12,0,3,57
West Brom,The Harthorns,52,50,90,-1,96,39
West Ham United,London Stadium (Olympic Stadium),51,32,19,0,0,59